episode,score,total_reward,epsilon,loss,steps,steps_since_food
1.0,1.0,-1.2999999999999972,1.0,0.0,15.0,8.0
2.0,0.0,-11.2,0.997,0.0,13.0,13.0
3.0,0.0,-11.2,0.994009,0.0,13.0,13.0
4.0,0.0,-11.0,0.991026973,0.0,11.0,11.0
5.0,0.0,-11.3,0.988053892081,0.0,14.0,14.0
6.0,0.0,-11.0,0.985089730404757,0.0,11.0,11.0
7.0,1.0,-0.6999999999999993,0.9821344612135428,0.0,9.0,4.0
8.0,1.0,-1.1999999999999993,0.9791880578299021,0.0,14.0,1.0
9.0,0.0,-10.6,0.9762504936564125,0.0,7.0,7.0
10.0,0.0,-10.9,0.9733217421754432,0.0,10.0,10.0
11.0,0.0,-11.700000000000001,0.9704017769489168,0.0,18.0,18.0
12.0,0.0,-10.4,0.9674905716180701,0.0,5.0,5.0
13.0,0.0,-10.5,0.9645880999032158,0.0,6.0,6.0
14.0,0.0,-11.2,0.9616943356035061,0.0,13.0,13.0
15.0,0.0,-10.4,0.9588092525966956,0.0,5.0,5.0
16.0,0.0,-10.6,0.9559328248389055,0.0,7.0,7.0
17.0,1.0,-1.099999999999996,0.9530650263643888,0.0,13.0,10.0
18.0,0.0,-10.2,0.9502058312852957,0.0,3.0,3.0
19.0,0.0,-10.4,0.9473552137914398,0.0,5.0,5.0
20.0,1.0,-1.7999999999999954,0.9445131481500655,0.0,20.0,15.0
21.0,0.0,-10.9,0.9416796087056153,0.0,10.0,10.0
22.0,1.0,-0.29999999999999893,0.9388545698794984,0.0,5.0,4.0
23.0,2.0,9.5,0.93603800616986,0.0,8.0,3.0
24.0,0.0,-10.5,0.9332298921513504,0.0,6.0,6.0
25.0,1.0,-0.40000000000000036,0.9304302024748964,0.0,6.0,1.0
26.0,0.0,-10.6,0.9276389118674717,0.0,7.0,7.0
27.0,0.0,-12.3,0.9248559951318693,0.0,24.0,24.0
28.0,0.0,-11.2,0.9220814271464737,0.0,13.0,13.0
29.0,0.0,-10.8,0.9193151828650342,0.0,9.0,9.0
30.0,0.0,-10.3,0.9165572373164391,0.0,4.0,4.0
31.0,0.0,-11.9,0.9138075656044898,0.0,20.0,20.0
32.0,0.0,-10.7,0.9110661429076764,0.0,8.0,8.0
33.0,0.0,-10.2,0.9083329444789534,0.0,3.0,3.0
34.0,0.0,-11.1,0.9056079456455165,0.0,12.0,12.0
35.0,0.0,-10.4,0.90289112180858,0.0,5.0,5.0
36.0,0.0,-11.6,0.9001824484431542,0.0,17.0,17.0
37.0,1.0,-0.29999999999999893,0.8974819010978248,0.0,5.0,4.0
38.0,1.0,-1.2999999999999954,0.8947894553945313,0.0,15.0,13.0
39.0,0.0,-10.4,0.8921050870283477,0.0,5.0,5.0
40.0,0.0,-10.9,0.8894287717672626,0.0,10.0,10.0
